Category,Code,Name,Type,Data_Source
"Countries","001","Argentina","Country","data.js"
"Countries","002","Australia","Country","data.js"
"Countries","003","Belgium","Country","data.js"
"Countries","004","Bangladesh","Country","data.js"
"Countries","005","Brazil","Country","data.js"
"Countries","006","Canada","Country","data.js"
"Countries","007","Chile","Country","data.js"
"Countries","008","China","Country","data.js"
"Countries","009","Germany","Country","data.js"
"Countries","010","Denmark","Country","data.js"
"Countries","011","Egypt","Country","data.js"
"Countries","012","Spain","Country","data.js"
"Countries","013","Finland","Country","data.js"
"Countries","014","France","Country","data.js"
"Countries","015","United Kingdom","Country","data.js"
"Countries","016","Greece","Country","data.js"
"Countries","017","Indonesia","Country","data.js"
"Countries","018","India","Country","data.js"
"Countries","019","Ireland","Country","data.js"
"Countries","020","Israel","Country","data.js"
"Countries","021","Italy","Country","data.js"
"Countries","022","Japan","Country","data.js"
"Countries","023","Kenya","Country","data.js"
"Countries","024","South Korea","Country","data.js"
"Countries","025","Mexico","Country","data.js"
"Countries","026","Malaysia","Country","data.js"
"Countries","027","Nigeria","Country","data.js"
"Countries","028","Netherlands","Country","data.js"
"Countries","029","Norway","Country","data.js"
"Countries","030","New Zealand","Country","data.js"
"Countries","031","Philippines","Country","data.js"
"Countries","032","Portugal","Country","data.js"
"Countries","033","Russia","Country","data.js"
"Countries","034","Saudi Arabia","Country","data.js"
"Countries","035","Thailand","Country","data.js"
"Countries","036","Turkey","Country","data.js"
"Countries","037","Taiwan","Country","data.js"
"Countries","038","United States","Country","data.js"
"Countries","039","Vietnam","Country","data.js"
"Countries","040","South Africa","Country","data.js"
"Movies","001","Aladdin (2019)","Movie","data.js"
"Movies","002","Alice in Wonderland (2010)","Movie","data.js"
"Movies","003","Aquaman","Movie","data.js"
"Movies","004","Avatar","Movie","data.js"
"Movies","005","Avengers: Endgame","Movie","data.js"
"Movies","006","Avengers: Infinity War","Movie","data.js"
"Movies","007","Barbie","Movie","data.js"
"Movies","008","Beauty and the Beast (2017)","Movie","data.js"
"Movies","009","Black Panther","Movie","data.js"
"Movies","010","Captain America: Civil War","Movie","data.js"
