Name,coffee_consumption,chocolate_consumption,wine_consumption,mcdonalds_per_capita,sleep_hours,happiness_ranking,vacation_days,retirement_age,internet_penetration,daily_internet_usage,social_media_usage,digital_payment_adoption,ev_adoption,cost_of_living,nobel_prizes_per_capita,olympic_medals_per_capita,unesco_sites,population_density,average_temperature,literacy_rate,birth_rate,urban_population,land_area,water_area,agricultural_land,mobile_subscriptions,life_expectancy,big_mac_price,average_rainfall,working_hours,forest_coverage,minimum_wage,recycling_rate
Argentina,4.37,1.9,18,2.2,7,63,14,65,82.9,8.95,82,65,0.5,35.7,0.5,5,11,22,14.4,99,15.2,92.3,2736690,1.57,53.9,130,81.2,3.54,591,45.2,10.7,2.92,6.5
Australia,7.45,4.8,22.8,37.5,7.4,99,20,67,79.6,5.9,80,77,7.2,60.9,6.8,233.4,20,390,21.9,99,11.9,86.6,7682300,1.79,52.9,104,77.4,6.45,534,42.1,16.2,21.38,37
Belgium,9.5,6.6,20,17.3,7.2,28,30,65,66.1,5.43,82,73,23,56.5,9.1,90,13,196,10.5,99,9.2,98.1,30280,0.71,44.1,107,87.7,5.87,820,35.9,22.6,11.05,53.5
Bangladesh,1.5,0.05,,0.1,6.9,138,10,59,66.2,5.1,25,38,0.1,20.9,0.06,,3,326,25.2,74.7,18.1,39,130170,6.4,70.1,110,73.3,2.18,2666,49.5,11,0.43,5
Brazil,10.08,2.2,1.8,5.2,7.1,1,20,65,76.7,9.32,66.3,76,4.5,25.6,0.05,8,24,284,25.5,93.2,13.6,87.6,8358140,0.65,33.8,89,72.8,4.18,1761,44.2,59.9,1.88,13.1
Canada,2.61,4.9,16.2,36.4,7.3,36,19,65,70.4,6.05,84,79,11,58.7,7.1,75,21,315,-5.4,99,9.9,81.6,9093510,11.76,6.9,87,79.9,5.69,537,42.2,38.7,11.25,26.8
Chile,6.65,2,15.5,5.8,7,16,15,65,89.5,8.15,82,72,1.8,35.1,0.5,3,7,220,8.9,96.4,12.4,87.8,743812,1.07,21.1,127,77.6,4.73,1522,45,21.9,2.98,10.1
China,0.38,0.2,1.2,4.8,6.7,84,15,60,77.6,6.42,73,86,35,30.7,0.02,2.2,59,155,8.2,96.8,7.52,64.2,9388211,2.67,54.8,125,77.8,3.17,645,46.1,23.3,2.8,20.2
Germany,7.2,8.8,27.6,15.7,7,16,35,65.8,94.7,5.25,78,68,18.4,58.4,13.4,161.4,54,240,9.3,99,9.5,77.5,348560,2.18,47.9,129,81.3,5.32,700,26.4,32.7,12.41,67.1
Denmark,8.7,7.3,16,6.9,7.3,2,25,67,99,5.55,86,84,42,66.9,17.2,200,8,137,8.7,99,10.1,88.1,42430,7.07,61.8,129,81,6.98,712,33.2,15.3,18.27,50
Egypt,4.32,0.3,0.1,0.8,6.5,72,21,60,70.1,7.5,43,44,0.1,19,0.1,1,7,134,22.1,71.2,21.8,42.8,995450,0.63,3.6,95,86.8,1.93,18,48.9,0.1,0.94,5
Spain,7.37,3.8,21.6,4.3,7.3,88,30,65,70.7,5.85,85,65,5.5,43.5,2.1,30,50,206,15.8,98.4,7.1,81.6,498800,1.04,54.1,114,89.1,5.15,636,37.8,36.8,7.83,33.9
Finland,12,7,13,3.6,7.4,1,30,65,97,6.2,89,88,18,58.7,9.1,551.4,7,18,1.7,100,8.6,85.5,303890,10.21,7.5,128,81.7,6.15,536,36.3,73.1,9.25,42.8
France,7.17,6.3,46.9,23.6,7.2,100,30,64,67.6,5.4,78,65,16.8,58,10.6,100.8,53,168,12.2,99,10.9,81.5,547557,0.86,52.7,110,80.2,5.78,867,35.6,31,11.65,42.4
United Kingdom,2.8,7.6,20.8,21.3,7.1,20,25,66,96.4,5.55,74,71,16.5,59.2,20,121.6,35,161,9.8,99,10.9,84.2,241930,1.34,70.2,121,81.8,4.89,1220,42.5,13.1,11.05,45.7
