Category,Challenge_ID,Prompt_Text
Countries,coffee_consumption,Rank these countries by coffee consumption (highest to lowest)
Countries,chocolate_consumption,Rank these countries by chocolate consumption (highest to lowest)
Countries,wine_consumption,Rank these countries by wine consumption (highest to lowest)
Countries,mcdonalds_per_capita,Rank these countries by McDonald's per capita (highest to lowest)
Countries,sleep_hours,Rank these countries by sleep hours per night (highest to lowest)
Countries,happiness_ranking,Rank these countries by happiness (happiest to least happy)
Countries,vacation_days,Rank these countries by vacation days per year (highest to lowest)
Countries,retirement_age,Rank these countries by retirement age (highest to lowest)
Countries,internet_penetration,Rank these countries by internet penetration (highest to lowest)
Countries,daily_internet_usage,Rank these countries by daily internet usage hours (highest to lowest)
Countries,social_media_usage,Rank these countries by social media usage rate (highest to lowest)
Countries,digital_payment_adoption,Rank these countries by digital payment adoption (highest to lowest)
Countries,ev_adoption,Rank these countries by electric vehicle adoption (highest to lowest)
Countries,cost_of_living,Rank these countries by cost of living index (highest to lowest)
Countries,nobel_prizes_per_capita,Rank these countries by Nobel prizes per capita (highest to lowest)
Countries,olympic_medals_per_capita,Rank these countries by Olympic medals per capita (highest to lowest)
Countries,unesco_sites,Rank these countries by UNESCO World Heritage sites (highest to lowest)
Countries,population_density,Rank these countries by population density (highest to lowest)
Countries,average_temperature,Rank these countries by average temperature (highest to lowest)
Countries,literacy_rate,Rank these countries by literacy rate (highest to lowest)
Countries,birth_rate,Rank these countries by birth rate (highest to lowest)
Countries,urban_population,Rank these countries by urban population percentage (highest to lowest)
Countries,land_area,Rank these countries by land area (largest to smallest)
Countries,water_area,Rank these countries by water area percentage (highest to lowest)
Countries,agricultural_land,Rank these countries by agricultural land percentage (highest to lowest)
Countries,mobile_subscriptions,Rank these countries by mobile subscriptions per 100 people (highest to lowest)
Countries,life_expectancy,Rank these countries by life expectancy (highest to lowest)
Countries,big_mac_price,Rank these countries by Big Mac price (highest to lowest)
Countries,average_rainfall,Rank these countries by average rainfall (highest to lowest)
Countries,working_hours,Rank these countries by average working hours per week (highest to lowest)
Countries,forest_coverage,Rank these countries by forest coverage percentage (highest to lowest)
Countries,minimum_wage,Rank these countries by minimum wage (highest to lowest)
Countries,recycling_rate,Rank these countries by recycling rate (highest to lowest)
Movies,box_office_gross,Rank these movies by box office gross (highest to lowest)
Movies,production_budget,Rank these movies by production budget (highest to lowest)
Movies,runtime_minutes,Rank these movies by runtime (longest to shortest)
Movies,imdb_rating,Rank these movies by IMDb rating (highest to lowest)
Movies,rotten_tomatoes,Rank these movies by Rotten Tomatoes score (highest to lowest)
