Country,Birth Rate (per 1000),Life Expectancy (years),Population 0-14 (%),Population 65+ (%),Total Population,GDP (current US$),GDP Growth (%),Broadband Subscriptions (per 100),Mobile Subscriptions (per 100),Secure Internet Servers (per 1M),Electricity from Coal (%),Electricity from Oil (%),Forest Area (%),Renewable Energy (%),Health Expenditure (% GDP),Tertiary Education Enrollment (%),Female Labor Participation (%),Patent Applications,Rural Population (%),Unemployment Rate (%),UNESCO Total Sites,UNESCO Cultural Sites,UNESCO Natural Sites,UNESCO Mixed Sites,Life Evaluation Score,Forest Coverage (%),Irrigated Land (km²),Soybean Production (tonnes),Healthy Diet Cost (PPP $/day),Nobel Laureates Total,Crime Index,Pollution Index,Total Airports
Manual,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,CIA World Factbook,UNESCO World Heritage Centre,UNESCO World Heritage Centre,UNESCO World Heritage Centre,UNESCO World Heritage Centre,World Happiness Report,FAO via Wikipedia,CIA World Factbook via Wikipedia,FAO FAOSTAT,FAO SOFI Report,Wikipedia Nobel Lists,Numbeo Crime Index,Numbeo Pollution Index,CIA World Factbook
Current,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2024,July 2025,July 2025,July 2025,July 2025,2024,2022,2020,2023,2024,July 2025,2025 Mid-Year,2025 Mid-Year,2025
Argentina,11.06,77.39,22.19,12.2,"45,538,401","646,075,277,525",-1.61,25.36,137.71,5451.2,1.82,10.34,10.36,9.2,9.86,107.05,52.96,406,7.54,7.9,12,7,5,0,6.397,9.8,23600,25044978,N/A,5,63.32,50.81,764
Australia,10.8,83.05,18.03,17.38,"26,652,777","1,728,057,316,695",3.44,36.6,112.51,47578.64,46.5,1.77,17.42,12.3,9.93,106.24,62.37,"2,966",13.38,4.1,21,5,12,4,6.974,17.4,15210,52000,2.9,14,47.41,26.89,2257
Austria,8.5,81.54,14.3,20.16,"9,131,761","511,685,203,845",-0.95,29.37,121.75,42281.0,2.6,1.05,47.21,36,10.88,94.51,55.81,"1,872",40.47,5.4,12,11,1,0,6.81,47.2,382,274960,2.76,25,28.26,20.64,62
Belgium,9.4,82.4,16.29,20.15,"11,787,423","644,655,275,111",1.2,43.7,103.2,33643.23,2.25,0.14,22.6,11.7,10.76,83.57,49.83,799,1.81,5.5,16,15,1,0,6.91,22.6,57,N/A,2.56,11,49.5,49.25,48
Brazil,12.32,75.85,19.94,10.63,"211,140,729","2,191,131,765,684",3.24,22.42,101.02,5628.66,1.99,1.28,59.13,46.5,9.14,60.39,53.2,"4,666",12.21,7.6,25,15,9,1,6.494,58.1,69029,152144238,4.25,1,64.24,52.78,5297
Canada,8.8,81.65,15.3,19.36,"40,083,484","2,173,339,670,064",1.53,42.52,94.15,42565.04,4.33,0.89,39.47,23.8,11.22,77.31,61.13,"4,710",18.14,6.4,22,10,11,1,6.803,39.5,9045,6980525,3.89,28,45.81,29.84,1459
Chile,8.96,81.17,17.38,13.69,"19,658,835","335,518,054,097",0.52,23.0,135.87,12299.97,17.28,2.92,24.82,24.2,10.1,99.34,51.96,402,11.99,9.1,7,7,0,0,6.361,23.9,11100,N/A,4.54,2,60.54,77.37,379
China,6.39,77.95,16.59,14.32,"1,410,710,000","18,270,356,654,533",5.41,44.73,128.25,1508.37,61.72,0.1,23.83,15.2,5.37,74.82,59.95,"1,426,644",35.43,4.6,60,41,15,4,5.921,23.8,691600,19496297,3.35,8,23.53,76.74,552
