Country,Birth Rate (per 1000),Life Expectancy (years),Population 0-14 (%),Population 65+ (%),Total Population,GDP (current US$),GDP Growth (%),Broadband Subscriptions (per 100),Mobile Subscriptions (per 100),Secure Internet Servers (per 1M),Electricity from Coal (%),Electricity from Oil (%),Forest Area (%),Renewable Energy (%),Health Expenditure (% GDP),Tertiary Education Enrollment (%),Female Labor Participation (%),Patent Applications,Rural Population (%),Unemployment Rate (%),UNESCO Total Sites,UNESCO Cultural Sites,UNESCO Natural Sites,UNESCO Mixed Sites,Life Evaluation Score,Forest Coverage (%),Irrigated Land (km²),Soybean Production (tonnes),Healthy Diet Cost (PPP $/day),Nobel Laureates Total
Manual,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,UNESCO World Heritage Centre,UNESCO World Heritage Centre,UNESCO World Heritage Centre,UNESCO World Heritage Centre,World Happiness Report,FAO via Wikipedia,CIA World Factbook via Wikipedia,FAO FAOSTAT,FAO SOFI Report,Wikipedia Nobel Lists
Current,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,July 2025,July 2025,July 2025,July 2025,2024,2022,2020,2023,2024,July 2025
Argentina,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,9.8,TBD,TBD,TBD,TBD,TBD,TBD,TBD,12,7,5,0,6.397,9.8,23600,25044978,,5
Australia,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,17.4,TBD,TBD,TBD,TBD,TBD,TBD,TBD,21,5,12,4,6.974,17.4,15210,52000,2.9,14
Austria,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,47.2,TBD,TBD,TBD,TBD,TBD,TBD,TBD,12,11,1,0,6.81,47.2,382,274960,2.76,25
Belgium,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,22.6,TBD,TBD,TBD,TBD,TBD,TBD,TBD,16,15,1,0,6.91,22.6,57,,2.56,11
Brazil,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,58.1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,25,15,9,1,6.494,58.1,69029,152144238,4.25,1
Canada,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,39.5,TBD,TBD,TBD,TBD,TBD,TBD,TBD,22,10,11,1,6.803,39.5,9045,6980525,3.89,28
Chile,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,23.9,TBD,TBD,TBD,TBD,TBD,TBD,TBD,7,7,0,0,6.361,23.9,11100,,4.54,2
China,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,23.8,TBD,TBD,TBD,TBD,TBD,TBD,TBD,60,41,15,4,5.921,23.8,691600,19496297,3.35,8
Colombia,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,52.2,TBD,TBD,TBD,TBD,TBD,TBD,TBD,9,6,2,1,6.004,52.2,10900,196414,4.13,2
Czech Republic,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,34.7,TBD,TBD,TBD,TBD,TBD,TBD,TBD,17,16,1,0,6.775,34.7,220,63390,3.63,6
Denmark,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,15.8,TBD,TBD,TBD,TBD,TBD,TBD,TBD,12,8,4,0,7.521,15.8,2360,0,2.73,14
Egypt,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,0.1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,7,6,1,0,3.817,0.1,36000,9,,4
Finland,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,73.7,TBD,TBD,TBD,TBD,TBD,TBD,TBD,7,6,1,0,7.736,73.7,80,0,3.29,5
