Country,Birth Rate (per 1000),Life Expectancy (years),Population 0-14 (%),Population 65+ (%),Total Population,GDP (current US$),GDP Growth (%),Fixed Broadband (/100),Mobile Subscriptions (/100),Secure Internet Servers (/1M),Coal Electricity (%),Oil Electricity (%),Forest Area (%),Renewable Energy (%),Health Expenditure (% GDP),Tertiary Enrollment (%),Female Labor Participation (%),Patent Applications,Rural Population (%),Unemployment (%),Total UNESCO Sites,Cultural UNESCO Sites,Natural UNESCO Sites,Mixed UNESCO Sites,Life Evaluation Score,Social Support Ranking,Freedom Ranking,Generosity Ranking,Helped Stranger Ranking,Forest Percentage,Irrigated Land (km²),Soybean Production (tonnes),Healthy Diet Cost (PPP$)
Manual,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,UNESCO Centre,UNESCO Centre,UNESCO Centre,UNESCO Centre,World Happiness Report,World Happiness Report,World Happiness Report,World Happiness Report,World Happiness Report,FAO/Wikipedia,FAO/Wikipedia,FAO 2023,FAO SOFI July 2024
Current,2023,2023,2024,2024,2024,2024,2024,2023,2023,2024,2023,2023,2022,2021,2023,2022,2024,2021,2024,2024,Current 2025,Current 2025,Current 2025,Current 2025,Latest Report,Latest Report,Latest Report,Latest Report,Latest Report,2023/Current,2023/Current,2023,2022
Argentina,,,,,,,,,,,,,,,,,,,,,12,7,5,0,6.397,21,47,112,55,9.80,23600,25044978,
Australia,,,,,,,,,,,,,,,,,,,,,21,5,12,4,6.974,42,49,22,28,17.40,15210,52000,2.90
Austria,8.50,81.54,14.23,20.61,9178482,521642466922,-1.17,29.37,121.75,47129.47,2.60,1.05,47.21,36,10.88,94.51,55.55,1872,40.18,5.44,12,11,1,0,6.810,25,54,7,85,47.20,382,274960,2.76
Belgium,,,,,,,,,,,,,,,,,,,,,16,15,1,0,6.910,31,26,48,114,22.60,57,,2.56
Brazil,,,,,,,,,,,,,,,,,,,,,25,15,9,1,6.494,56,59,71,50,58.10,69029,152144238,4.25
Canada,,,,,,,,,,,,,,,,,,,,,22,10,11,1,6.803,35,68,27,43,39.50,9045,6980525,3.89
Switzerland,,,,,,,,,,,,,,,,,,,,,13,9,4,0,6.935,20,20,12,126,32.30,327,6949,2.85
Chile,,,,,,,,,,,,,,,,,,,,,7,7,0,0,6.361,43,63,75,31,23.90,11100,,4.54
