Country,Birth Rate (per 1000),Life Expectancy (years),Population 0-14 (%),Population 65+ (%),Total Population,GDP (current US$),GDP Growth (annual %),Fixed Broadband (/100 people),Mobile Subscriptions (/100 people),Secure Internet Servers (/1M people),Coal Electricity (%),Oil Electricity (%),Forest Area (%),Renewable Energy (%),Health Expenditure (% GDP),Tertiary Enrollment (%),Female Labor Participation (%),Patent Applications,Rural Population (%),Unemployment (%),Total UNESCO Sites,Cultural UNESCO Sites,Natural UNESCO Sites,Mixed UNESCO Sites,Life Evaluation Score,Social Support Ranking,Freedom Ranking,Generosity Ranking,Helped Stranger Ranking,Forest Percentage,Irrigated Land (km²),Soybean Production (tonnes),Healthy Diet Cost (PPP$)
Source,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,UNESCO Centre,UNESCO Centre,UNESCO Centre,UNESCO Centre,World Happiness Report,World Happiness Report,World Happiness Report,World Happiness Report,World Happiness Report,FAO/Wikipedia,FAO/Wikipedia,FAO 2023,FAO SOFI July 2024
Date,2023,2023,2023,2023,2023,2023,2023,2023-2024,2023-2024,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,Current 2025,Current 2025,Current 2025,Current 2025,Latest Report,Latest Report,Latest Report,Latest Report,Latest Report,2023/Current,2023/Current,2023,2022
Argentina,,,,,,,,,,,,,,,,,,,,,9,6,3,0,6.046,96,8,131,23,9.8,23600,25044978,
Australia,,,,,,,,,,,,,,,,,,,,,20,1,12,7,7.057,12,5,4,55,17.4,15210,52000,2.9
Austria,,,,,,,,,,,,,,,,,,,,,12,10,2,0,7.272,16,4,11,20,47.2,382,274960,2.76
Belgium,,,,,,,,,,,,,,,,,,,,,15,15,0,0,6.805,19,6,23,59,22.6,57,,2.56
Brazil,,,,,,,,,,,,,,,,,,,,,23,14,7,2,6.125,42,31,67,91,58.1,69029,152144238,4.25
Canada,,,,,,,,,,,,,,,,,,,,,20,10,9,1,7.103,8,2,5,46,39.5,9045,6980525,3.89
Chile,,,,,,,,,,,,,,,,,,,,,7,0,3,4,6.172,76,30,22,120,23.9,11100,,4.54
China,,,,,,,,,,,,,,,,,,,,,56,38,14,4,5.585,71,74,88,79,23.8,691600,19496297,3.35
Colombia,,,,,,,,,,,,,,,,,,,,,9,6,2,1,6.012,32,70,20,76,52.2,10900,196414,4.13
Czech Republic,,,,,,,,,,,,,,,,,,,,,16,12,4,0,6.845,21,3,44,30,34.7,220,63390,3.63
Denmark,,,,,,,,,,,,,,,,,,,,,8,3,3,2,7.586,5,11,30,33,15.8,2360,0,2.73
Finland,,,,,,,,,,,,,,,,,,,,,7,1,6,0,7.741,1,16,14,32,73.7,80,0,3.29
France,,,,,,,,,,,,,,,,,,,,,49,43,5,1,6.661,35,12,19,22,31.8,14236,387820,3.42
Germany,,,,,,,,,,,,,,,,,,,,,51,48,3,0,7.034,26,25,6,28,32.7,5056,129000,3.56
Iceland,,,,,,,,,,,,,,,,,,,,,3,1,2,0,7.525,2,7,1,27,0.5,0.5,0,3.02
